target,start,end,metricName,time,value
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_overlap,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,percent_availability,,99.9971
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,calibration_signal,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_correction,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_begin,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_end,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_in_progress,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,clock_locked,,20312
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,amplifier_saturation,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digitizer_clipping,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,spikes,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,glitches,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,missing_padded_data,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digital_filter_charging,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,suspect_time_tag,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_quality,,99.0108
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_min,,-20687
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_median,,-14597
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_mean,,-14599.3
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_max,,-9068
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_rms,,1288.73
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_unique,,10738
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_stalta,2020-01-03T06:06:06,19.0192
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_spikes,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_gaps,,1
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_gap,,2.87
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_overlaps,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_overlap,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,percent_availability,,99.9967
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,calibration_signal,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_correction,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_begin,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_end,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,event_in_progress,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,clock_locked,,20442
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,amplifier_saturation,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digitizer_clipping,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,spikes,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,glitches,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,missing_padded_data,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,digital_filter_charging,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,suspect_time_tag,,0
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,timing_quality,,99.011
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_min,,-20674
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_median,,-14239
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_mean,,-14240.1
NS.BER.00.HHN.D,2020-01-03T00:00:00,2020-01-03T23:59:59,sample_max,,-8228
